Title,Model,Year,Engine Specification,Wheel Specification,Price,Stock #,interior color,exterior color,miles
2020 Acura  RDX Base SUV,2020 Acura ,2020,2.0L I-4 cyl Engine,Front-Wheel Drive ,"$42,998", U60963 ,,Grey Exterior,"13,568 miles "
2018 Acura  RDX W/TECHNOLOGY PKG SUV,2018 Acura ,2018,3.5L V-6 cyl Engine,All-wheel Drive ,"$33,989", U01374 ,BEIGE Interior,Black Exterior,"39,788 miles "
2019 Chevrolet  Trax LT SUV,2019 Chevrolet ,2019,1.4L I-4 cyl Engine,Front-wheel Drive ,"$21,689", U01561 ,BLACK Interior,Blue Exterior,"43,556 miles "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2020 INFINITI  QX80 LUXE SUV,2020 INFINITI ,2020,5.6L V-8 cyl Engine,All-wheel Drive ,"$59,998", R60939 ,,Hermosa Blue Exterior,"37,001 miles "
2021 Jeep  Gladiator JTJH98 Truck Crew Cab,2021 Jeep ,2021,3.6L V-6 cyl Engine,4x4 ,"$61,989", U01535 ,Global Black/Steel Grey Interior,Sting-Gray Clear Coat Exterior,"20,557 miles "
2021 Jeep  Gladiator Rubicon Truck Crew Cab,2021 Jeep ,2021,3.6L V-6 cyl Engine,4x4 ,"$64,995", U61013 ,Black Interior,Snazzberry Pearl Exterior,"3,118 miles "
2019 Jeep  Grand Cherokee ALTITUDE SUV,2019 Jeep ,2019,3.6L V-6 cyl Engine,4x2 ,"$36,989", U01448 ,BLACK Interior,Granite Crystal MET. Clear COA Exterior,"38,576 miles "
2018 Jeep  Renegade ALTITUDE SUV,2018 Jeep ,2018,2.4L I-4 cyl Engine,Front-wheel Drive ,"$22,989", U01569 ,BLACK Interior,Alpine White Exterior,"57,310 miles "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2019 Toyota  Avalon XLE Sedan,2019 Toyota ,2019,3.5L V-6 cyl Engine,Front-wheel Drive ,"$34,989", U60927 ,Black SofTexÂ® Interior,Celestial Silver Exterior,"39,911 miles "
2021 Toyota  Camry SE Sedan,2021 Toyota ,2021,2.5L I-4 cyl Engine,Front-Wheel Drive ,"$33,589", U01660 ,Black SofTexÂ® Interior,Midnight Black Exterior,"8,388 miles "
2019 Toyota  Camry SE Sedan,2019 Toyota ,2019,2.5L I-4 cyl Engine,Front-wheel Drive ,"$29,989", U01598 ,Ash Interior,Midnight Black Exterior,"38,356 miles "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
